Player,Nation,Pos,Squad,Comp,Age,Born,GCA,GCA90,Won,Lost,npxG+xAG,Att,Succ,SoT,FK,Sh,Gls,Ast,PrgC,PrgP,PrgR,G+A,SCA,SCA90,90s,TklW,Blocks,Int,Clr,Prgc,G+A,Tkl%,Crs,Att,Succ,Won
Arnaud Nordin,fr FRA,FW,Montpellier,fr Ligue 1,26-225,1998,3,0.23,12,19,3.4,51,23,11,0,26,4,0,,,,,,,,,,,,,,,,,,
Arnaut Danjuma,nl NED,FW,Villarreal,es La Liga,27-363,1997,0,0,2,0,0.8,4,0,3,0,6,2,0,,,,,,,,,,,,,,,,,,
Artem Dovbyk,ua UKR,FW,Roma,it Serie A,27-221,1997,5,0.27,30,36,8.7,13,6,14,0,37,8,0,,,,,,,,,,,,,,,,,,
Asier Villalibre,es ESP,FW,Alavés,es La Liga,27-120,1997,0,0,12,5,0.6,4,0,2,1,21,0,1,,,,,,,,,,,,,,,,,,
Assane Diao,es ESP,FW,Betis,es La Liga,19-143,2005,2,0.65,8,6,2.3,11,2,1,0,7,1,0,,,,,,,,,,,,,,,,,,
Axel Gueguin,fr FRA,FW,Montpellier,fr Ligue 1,19-310,2005,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Ayoze Pérez,es ESP,FW,Villarreal,es La Liga,31-183,1993,0,0,4,9,5.1,32,13,9,0,29,8,1,,,,,,,,,,,,,,,,,,
Ben Brereton,cl CHI,FW,Southampton,eng Premier League,25-285,1999,0,0,9,7,1,4,1,1,0,11,0,0,,,,,,,,,,,,,,,,,,
Benedikt Pichler,at AUT,FW,Holstein Kiel,de Bundesliga,27-192,1997,3,0.36,41,29,3.2,17,8,8,0,18,1,0,,,,,,,,,,,,,,,,,,
Benjamín Domínguez,ar ARG,FW,Bologna,it Serie A,21-131,2003,3,0.46,0,11,1.8,39,15,11,0,17,3,0,,,,,,,,,,,,,,,,,,
Bernard Nguene,cm CMR,FW,Nice,fr Ligue 1,18-177,2006,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Bertuğ Yıldırım,tr TUR,FW,Getafe,es La Liga,22-200,2002,1,0.1,63,47,3.2,11,6,8,1,24,6,1,,,,,,,,,,,,,,,,,,
Beto,gw GNB,FW,Everton,eng Premier League,26-363,1998,0,0,21,27,1.7,16,9,4,0,12,1,0,,,,,,,,,,,,,,,,,,
Bojan Miovski,mk MKD,FW,Girona,es La Liga,25-218,1999,4,0.56,7,13,2.8,4,1,4,0,11,2,0,,,,,,,,,,,,,,,,,,
Borja Iglesias,es ESP,FW,Celta Vigo,es La Liga,32-011,1993,2,0.16,8,18,5.7,15,8,13,0,22,5,0,,,,,,,,,,,,,,,,,,
Borja Mayoral,es ESP,FW,Getafe,es La Liga,27-298,1997,1,0.48,7,8,1.1,4,3,3,0,6,2,0,,,,,,,,,,,,,,,,,,
Bradley Barcola,fr FRA,FW,Paris S-G,fr Ligue 1,22-148,2002,11,0.79,10,6,14.5,88,25,25,0,49,11,0,,,,,,,,,,,,,,,,,,
Breel Embolo,ch SUI,FW,Monaco,fr Ligue 1,27-349,1997,2,0.2,20,20,10.1,25,8,10,0,31,4,0,,,,,,,,,,,,,,,,,,
Brennan Johnson,wls WAL,FW,Tottenham,eng Premier League,23-250,2001,6,0.36,7,14,9.3,28,14,16,0,45,7,0,,,,,,,,,,,,,,,,,,
Bryan Mbeumo,cm CMR,FW,Brentford,eng Premier League,25-174,1999,10,0.44,22,52,9.9,61,29,22,3,41,14,2,,,,,,,,,,,,,,,,,,
Budu Zivzivadze,ge GEO,FW,Heidenheim,de Bundesliga,30-324,1994,2,0.52,10,21,0.9,9,3,10,0,23,4,0,,,,,,,,,,,,,,,,,,
Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,30-311,1994,0,0,6,8,1.8,5,2,4,0,12,1,0,,,,,,,,,,,,,,,,,,
