Player,Nation,Pos,Squad,Comp,Age,Born,GCA,GCA90,Won,Lost,npxG+xAG,Att,Succ,SoT,FK,Sh,Gls,Ast,PrgC,PrgP,PrgR,G+A,SCA,SCA90,90s,TklW,Blocks,Int,Clr,Prgc,G+A,Tkl%,Crs,Att,Succ,Won
Brajan Gruda,fr FRA,"MF,FW",Mainz 05,de Bundesliga,27,1996,,,,,,,,,,,,,6,28,39,0.31,6,4.15,,,,,,,,,,,,
Braydon Manu,eng ENG,MF,Darmstadt 98,de Bundesliga,24,1999,,,,,,,,,,,,,30,130,94,0.26,30,1.36,,,,,,,,,,,,
Brenden Aaronson,nl NED,"MF,FW",Union Berlin,de Bundesliga,24,1998,,,,,,,,,,,,,91,344,202,0.52,44,3.54,,,,,,,,,,,,
Brenner,sct SCO,"MF,FW",Udinese,it Serie A,26,1997,,,,,,,,,,,,,2,10,12,0,117,3.62,,,,,,,,,,,,
Brian Ocampo,ua UKR,"MF,FW",C diz,es La Liga,23,1999,,,,,,,,,,,,,57,72,101,0.18,34,1.98,,,,,,,,,,,,
Bruno Fernandes,ch SUI,"MF,FW",Manchester Utd,eng Premier League,26,1997,,,,,,,,,,,,,24,9,44,0.15,69,3.17,,,,,,,,,,,,
Bruno Guimar?es,es ESP,MF,Newcastle Utd,eng Premier League,25,1998,,,,,,,,,,,,,43,38,56,0.53,39,2.13,,,,,,,,,,,,
Bryan Cristante,eng ENG,"MF,DF",Roma,it Serie A,24,1999,,,,,,,,,,,,,65,50,114,0.38,51,2.22,,,,,,,,,,,,
Bryan Zaragoza,es ESP,"MF,FW",Granada,es La Liga,26,1996,,,,,,,,,,,,,3,10,3,0,75,2.15,,,,,,,,,,,,
Calum Chambers,eng ENG,"MF,DF",Aston Villa,eng Premier League,22,2001,,,,,,,,,,,,,2,2,1,0,104,3.58,,,,,,,,,,,,
Cameron Archer,ml MLI,MF,Aston Villa,eng Premier League,28,1995,,,,,,,,,,,,,2,4,5,1.67,14,1.54,,,,,,,,,,,,
Carles Ale¤ ,be BEL,MF,Getafe,es La Liga,32,1991,,,,,,,,,,,,,28,178,22,0.17,0,0,,,,,,,,,,,,
Carles P‚rez,at AUT,"MF,DF",Celta Vigo,es La Liga,26,1997,,,,,,,,,,,,,20,93,27,0,118,4.08,,,,,,,,,,,,
Carlos Alcaraz,fr FRA,MF,Juventus,it Serie A,21,2002,,,,,,,,,,,,,39,78,71,0.08,43,2.66,,,,,,,,,,,,
Carlos Baleba,fr FRA,MF,Brighton,eng Premier League,26,1997,,,,,,,,,,,,,36,135,86,0.31,1,2.2,,,,,,,,,,,,
Carlos Baleba,it ITA,MF,Lille,fr Ligue 1,26,1997,,,,,,,,,,,,,69,168,38,0.11,35,1.98,,,,,,,,,,,,
Carlos Benav¡dez,hu HUN,MF,Alav‚s,es La Liga,30,1993,,,,,,,,,,,,,1,7,5,0,69,3.38,,,,,,,,,,,,
Carlos Dotor,pt POR,MF,Celta Vigo,es La Liga,25,1998,,,,,,,,,,,,,79,169,190,0.58,1,5.29,,,,,,,,,,,,
Carlos Soler,ar ARG,"MF,DF",Paris S-G,fr Ligue 1,25,1998,,,,,,,,,,,,,12,78,12,0.06,82,3.55,,,,,,,,,,,,
Carney Chukwuemeka,uy URU,"MF,FW",Chelsea,eng Premier League,25,1998,,,,,,,,,,,,,3,64,12,0.11,31,2.78,,,,,,,,,,,,
Casemiro,es ESP,"MF,DF",Manchester Utd,eng Premier League,25,1998,,,,,,,,,,,,,88,204,90,0.19,157,4.82,,,,,,,,,,,,
Chaim El Djebali,de GER,MF,Lyon,fr Ligue 1,20,2003,,,,,,,,,,,,,151,187,216,0.64,63,2.66,,,,,,,,,,,,
Charlys,es ESP,MF,Hellas Verona,it Serie A,27,1996,,,,,,,,,,,,,16,157,22,0.06,95,4.53,,,,,,,,,,,,
Cheick Doucour‚,it ITA,MF,Crystal Palace,eng Premier League,27,1996,,,,,,,,,,,,,0,9,4,0,51,1.94,,,,,,,,,,,,
Cheikhou Kouyat‚,de GER,MF,Nott'ham Forest,eng Premier League,33,1990,,,,,,,,,,,,,13,61,22,0.15,54,2.88,,,,,,,,,,,,
Cher Ndour,it ITA,MF,Paris S-G,fr Ligue 1,32,1991,,,,,,,,,,,,,3,73,10,0.06,5,8.82,,,,,,,,,,,,
Chiedozie Ogbene,pe PER,"MF,DF",Luton Town,eng Premier League,18,2004,,,,,,,,,,,,,0,2,0,0,27,1.82,,,,,,,,,,,,
Christian Eriksen,pt POR,MF,Manchester Utd,eng Premier League,27,1996,,,,,,,,,,,,,0,13,2,0,6,3.7,,,,,,,,,,,,
Christian Khlwetter,ch SUI,MF,Heidenheim,de Bundesliga,27,1996,,,,,,,,,,,,,6,4,8,0,56,1.92,,,,,,,,,,,,
Christian N?rgaard,fr FRA,MF,Brentford,eng Premier League,25,1998,,,,,,,,,,,,,17,33,39,0.23,92,4.55,,,,,,,,,,,,
Christoph Baumgartner,br BRA,"MF,FW",RB Leipzig,de Bundesliga,30,1993,,,,,,,,,,,,,0,0,4,0,34,2.89,,,,,,,,,,,,
Christoph Kramer,ma MAR,MF,Gladbach,de Bundesliga,25,1997,,,,,,,,,,,,,20,91,26,0.08,2,6.67,,,,,,,,,,,,
Cole Palmer,ma MAR,MF,Manchester City,eng Premier League,36,1986,,,,,,,,,,,,,5,36,6,0,2,2,,,,,,,,,,,,
Conor Gallagher,ro ROU,MF,Chelsea,eng Premier League,29,1993,,,,,,,,,,,,,29,157,112,0.38,68,3.37,,,,,,,,,,,,
Corentin Tolisso,fr FRA,MF,Lyon,fr Ligue 1,19,2004,,,,,,,,,,,,,1,3,1,0,106,5.55,,,,,,,,,,,,
Crespo,sn SEN,MF,Rayo Vallecano,es La Liga,26,1996,,,,,,,,,,,,,43,169,13,0,7,1.2,,,,,,,,,,,,
Cristian C sseres Jr.,de GER,MF,Toulouse,fr Ligue 1,23,2000,,,,,,,,,,,,,14,76,22,0.26,8,0.54,,,,,,,,,,,,
Cristian Volpato,es ESP,"MF,FW",Sassuolo,it Serie A,27,1996,,,,,,,,,,,,,29,88,38,0.04,22,2.51,,,,,,,,,,,,
Curtis Jones,ba BIH,MF,Liverpool,eng Premier League,19,2003,,,,,,,,,,,,,0,0,0,0,10,1.31,,,,,,,,,,,,
D‚sir‚ Dou‚,cg CGO,"MF,FW",Rennes,fr Ligue 1,23,2000,,,,,,,,,,,,,9,49,5,0,3,2.03,,,,,,,,,,,,
Daichi Kamada,pl POL,MF,Lazio,it Serie A,20,2003,,,,,,,,,,,,,22,48,43,1.13,0,0,,,,,,,,,,,,
Daler Kuzyaev,es ESP,MF,Le Havre,fr Ligue 1,25,1998,,,,,,,,,,,,,8,97,11,0.18,29,2.2,,,,,,,,,,,,
Dami n Rodr¡guez,pl POL,MF,Celta Vigo,es La Liga,22,2000,,,,,,,,,,,,,0,0,1,0,91,4.26,,,,,,,,,,,,
Dani Ceballos,fr FRA,"MF,FW",Real Madrid,es La Liga,21,2002,,,,,,,,,,,,,9,53,23,0.07,84,3,,,,,,,,,,,,
Dani Garc¡a,dk DEN,MF,Athletic Club,es La Liga,18,2005,,,,,,,,,,,,,2,28,2,0,39,2.68,,,,,,,,,,,,
Dani Olmo,br BRA,MF,RB Leipzig,de Bundesliga,26,1996,,,,,,,,,,,,,16,34,5,0,2,7.2,,,,,,,,,,,,
Dani Rodr¡guez,de GER,MF,Mallorca,es La Liga,27,1996,,,,,,,,,,,,,2,7,1,0,19,4.45,,,,,,,,,,,,
Daniel Bandeira,dk DEN,MF,Hellas Verona,it Serie A,27,1996,,,,,,,,,,,,,0,0,0,0,46,2.96,,,,,,,,,,,,
Daniel Boloca,do DOM,MF,Sassuolo,it Serie A,25,1997,,,,,,,,,,,,,15,88,18,0.05,14,1.94,,,,,,,,,,,,
Daniel Gore,gq EQG,MF,Manchester Utd,eng Premier League,21,2001,,,,,,,,,,,,,9,29,15,0,7,2.64,,,,,,,,,,,,
Daniel Maldini,es ESP,"MF,FW",Monza,it Serie A,23,1999,,,,,,,,,,,,,9,9,18,0,10,3.17,,,,,,,,,,,,
Daniel Parejo,cd COD,MF,Villarreal,es La Liga,24,1999,,,,,,,,,,,,,0,0,0,0,19,1.55,,,,,,,,,,,,
Danilo,gq EQG,MF,Nott'ham Forest,eng Premier League,23,2000,,,,,,,,,,,,,23,20,75,0.36,10,1.99,,,,,,,,,,,,
Danilo Cataldi,es ESP,MF,Lazio,it Serie A,23,2000,,,,,,,,,,,,,32,39,131,1,69,2.39,,,,,,,,,,,,
Danley Jean-Jacques,es ESP,MF,Metz,fr Ligue 1,19,2004,,,,,,,,,,,,,68,45,160,0.24,69,4.21,,,,,,,,,,,,
Daouda Traor‚,us USA,MF,Nice,fr Ligue 1,25,1998,,,,,,,,,,,,,14,16,33,0.28,1,0.89,,,,,,,,,,,,
Darko Bra?anac,fr FRA,MF,Osasuna,es La Liga,18,2005,,,,,,,,,,,,,26,21,56,0.63,2,3.33,,,,,,,,,,,,
Darwin Mach¡s,ci CIV,MF,C diz,es La Liga,26,1997,,,,,,,,,,,,,84,127,112,0.15,6,1.75,,,,,,,,,,,,
David Costa,ci CIV,MF,Lens,fr Ligue 1,18,2004,,,,,,,,,,,,,1,2,8,0,0,0,,,,,,,,,,,,
David Ozoh,de GER,"MF,DF",Crystal Palace,eng Premier League,26,1996,,,,,,,,,,,,,6,66,10,0,49,2.37,,,,,,,,,,,,
Davide Bettella,sn SEN,MF,Monza,it Serie A,22,2001,,,,,,,,,,,,,4,19,8,0.66,29,1.57,,,,,,,,,,,,
Davide Frattesi,de GER,MF,Inter,it Serie A,18,2004,,,,,,,,,,,,,0,0,0,0,185,5.35,,,,,,,,,,,,
Davy Klaassen,ar ARG,MF,Inter,it Serie A,19,2004,,,,,,,,,,,,,1,4,2,0,5,10.98,,,,,,,,,,,,
Declan Rice,sn SEN,MF,Arsenal,eng Premier League,19,2004,,,,,,,,,,,,,1,1,0,0,52,2.26,,,,,,,,,,,,
Dejan Ljubicic,sn SEN,"MF,FW",K”ln,de Bundesliga,31,1991,,,,,,,,,,,,,1,7,8,0,19,2.24,,,,,,,,,,,,
Demba Seck,es ESP,MF,Torino,it Serie A,19,2004,,,,,,,,,,,,,1,0,1,0,24,3.07,,,,,,,,,,,,
Denis Genreau,es ESP,"MF,FW",Toulouse,fr Ligue 1,21,2002,,,,,,,,,,,,,41,122,67,0.15,87,4.49,,,,,,,,,,,,
Denis Huseinbasic,es ESP,MF,K”ln,de Bundesliga,24,1999,,,,,,,,,,,,,19,83,36,0.42,0,0,,,,,,,,,,,,
Denis Su rez,nl NED,"MF,FW",Villarreal,es La Liga,24,1998,,,,,,,,,,,,,17,117,65,0.03,39,1.75,,,,,,,,,,,,
Denis Thomalla,fr FRA,"MF,FW",Heidenheim,de Bundesliga,23,2000,,,,,,,,,,,,,32,98,70,0.15,3,1.65,,,,,,,,,,,,
Denis Zakaria,es ESP,"MF,DF",Monaco,fr Ligue 1,21,2002,,,,,,,,,,,,,28,72,40,0.27,30,2.35,,,,,,,,,,,,
Dennis Geiger,es ESP,MF,Hoffenheim,de Bundesliga,21,2002,,,,,,,,,,,,,27,70,15,0,1,0.87,,,,,,,,,,,,
Diadie Samass‚kou,cl CHI,MF,C diz,es La Liga,19,2004,,,,,,,,,,,,,1,0,0,0,0,0,,,,,,,,,,,,
Diadie Samass‚kou,es ESP,MF,Hoffenheim,de Bundesliga,22,2001,,,,,,,,,,,,,2,7,2,0,16,3.37,,,,,,,,,,,,
Diego Demme,es ESP,MF,Napoli,it Serie A,23,2000,,,,,,,,,,,,,22,93,46,0.17,43,2.49,,,,,,,,,,,,
Diego L¢pez,ma MAR,"MF,FW",Valencia,es La Liga,19,2004,,,,,,,,,,,,,9,25,12,0,24,2.11,,,,,,,,,,,,
Diego M‚ndez,ma MAR,MF,Rayo Vallecano,es La Liga,30,1992,,,,,,,,,,,,,25,82,121,0.38,10,1.65,,,,,,,,,,,,
Dion Lopy,fr FRA,MF,Almer¡a,es La Liga,23,1999,,,,,,,,,,,,,23,22,54,0.71,118,7.05,,,,,,,,,,,,
Dion Moise Sahi,es ESP,"MF,FW",Strasbourg,fr Ligue 1,30,1993,,,,,,,,,,,,,10,101,21,0.05,42,1.4,,,,,,,,,,,,
Djaoui Ciss‚,es ESP,MF,Rennes,fr Ligue 1,32,1991,,,,,,,,,,,,,1,3,0,0,49,4.56,,,,,,,,,,,,
Djibril Sow,es ESP,MF,Sevilla,es La Liga,26,1996,,,,,,,,,,,,,40,96,78,0.23,18,1.44,,,,,,,,,,,,
Domingos Quina,es ESP,MF,Udinese,it Serie A,28,1995,,,,,,,,,,,,,48,97,198,0.64,17,1.63,,,,,,,,,,,,
Dominik Szoboszlai,be BEL,MF,Liverpool,eng Premier League,25,1997,,,,,,,,,,,,,102,82,226,0.83,13,2.95,,,,,,,,,,,,
Donny van de Beek,be BEL,"MF,FW",Eint Frankfurt,de Bundesliga,20,2003,,,,,,,,,,,,,20,30,40,0.24,20,1.15,,,,,,,,,,,,
Douglas,sk SVK,MF,Nantes,fr Ligue 1,36,1987,,,,,,,,,,,,,67,149,182,0.39,93,3.41,,,,,,,,,,,,
Douglas Luiz,cd COD,MF,Aston Villa,eng Premier League,30,1993,,,,,,,,,,,,,11,15,16,0,2,2.25,,,,,,,,,,,,
Dwight McNeil,gq EQG,"MF,FW",Everton,eng Premier League,24,1999,,,,,,,,,,,,,90,120,193,0.41,16,0.92,,,,,,,,,,,,
Ebenezer Akinsanmiro,es ESP,MF,Inter,it Serie A,20,2003,,,,,,,,,,,,,11,17,41,0.6,58,3.23,,,,,,,,,,,,
Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,25,1998,,,,,,,,,,,,,56,54,110,0.19,14,1.78,,,,,,,,,,,,
Edan Diop,nir NIR,"MF,DF",Monaco,fr Ligue 1,30,1993,,,,,,,,,,,,,54,115,148,0.62,32,2,,,,,,,,,,,,
Edoardo Bove,eng ENG,MF,Roma,it Serie A,18,2004,,,,,,,,,,,,,53,19,82,0.18,23,2.2,,,,,,,,,,,,
Edson ?lvarez,de GER,MF,West Ham,eng Premier League,21,2001,,,,,,,,,,,,,15,10,22,1.35,0,0,,,,,,,,,,,,
Eduardo Camavinga,es ESP,"MF,DF",Real Madrid,es La Liga,34,1988,,,,,,,,,,,,,4,8,11,0,13,3.25,,,,,,,,,,,,
Elayis Tavsan,es ESP,"MF,FW",Hellas Verona,it Serie A,22,2000,,,,,,,,,,,,,5,11,15,0.29,84,3.83,,,,,,,,,,,,
Elba Rashani,es ESP,"MF,FW",Clermont Foot,fr Ligue 1,19,2004,,,,,,,,,,,,,13,13,20,0.26,6,1.34,,,,,,,,,,,,
Eliesse Ben Seghir,de GER,"MF,FW",Monaco,fr Ligue 1,33,1989,,,,,,,,,,,,,22,57,68,0.52,27,1.93,,,,,,,,,,,,
Elif Elmas,cg CGO,"MF,FW",RB Leipzig,de Bundesliga,19,2003,,,,,,,,,,,,,34,53,49,0.14,1,4.09,,,,,,,,,,,,
Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,26,1996,,,,,,,,,,,,,12,31,26,0.12,0,0,,,,,,,,,,,,
Elliot Anderson,be BEL,"MF,FW",Newcastle Utd,eng Premier League,28,1995,,,,,,,,,,,,,47,234,80,0.19,1,5.63,,,,,,,,,,,,
Ellyes Skhiri,rs SRB,MF,Eint Frankfurt,de Bundesliga,29,1994,,,,,,,,,,,,,38,120,36,0.11,4,2.29,,,,,,,,,,,,
Elvis Rexhbe‡aj,hr CRO,MF,Augsburg,de Bundesliga,29,1994,,,,,,,,,,,,,6,23,23,0,95,3.28,,,,,,,,,,,,
Emanuel Vignato,hr CRO,"MF,FW",Salernitana,it Serie A,26,1996,,,,,,,,,,,,,42,61,87,0,22,2.35,,,,,,,,,,,,
Emil Bohinen,at AUT,MF,Genoa,it Serie A,18,2004,,,,,,,,,,,,,1,3,2,0,23,3.17,,,,,,,,,,,,
Emil Bohinen,de GER,MF,Salernitana,it Serie A,22,2001,,,,,,,,,,,,,5,21,11,0,48,3.4,,,,,,,,,,,,
Emil Forsberg,de GER,"MF,FW",RB Leipzig,de Bundesliga,19,2004,,,,,,,,,,,,,1,2,1,0,18,1.17,,,,,,,,,,,,
Emile Smith Rowe,it ITA,MF,Arsenal,eng Premier League,26,1997,,,,,,,,,,,,,68,278,144,0.16,22,1.5,,,,,,,,,,,,
Emran Soglo,it ITA,"MF,DF",Marseille,fr Ligue 1,23,2000,,,,,,,,,,,,,0,0,0,0,16,3.29,,,,,,,,,,,,
Emre Can,it ITA,"MF,DF",Dortmund,de Bundesliga,33,1989,,,,,,,,,,,,,60,140,107,0.43,137,4.33,,,,,,,,,,,,
Enso Gonzalez,it ITA,"MF,DF",Wolves,eng Premier League,21,2002,,,,,,,,,,,,,21,88,47,0.1,64,4.78,,,,,,,,,,,,
Enzo Barrenechea,at AUT,MF,Frosinone,it Serie A,23,2000,,,,,,,,,,,,,46,70,100,0.23,9,1.13,,,,,,,,,,,,
Enzo Fern ndez,ar ARG,MF,Chelsea,eng Premier League,28,1994,,,,,,,,,,,,,9,69,7,0.07,1,3.91,,,,,,,,,,,,
Enzo Le F‚e,de GER,MF,Rennes,fr Ligue 1,27,1995,,,,,,,,,,,,,9,64,21,0.06,32,1.24,,,,,,,,,,,,
Enzo Loiodice,ch SUI,MF,Las Palmas,es La Liga,22,2001,,,,,,,,,,,,,8,23,15,0.41,3,3,,,,,,,,,,,,
Enzo Millot,ar ARG,"MF,FW",Stuttgart,de Bundesliga,20,2003,,,,,,,,,,,,,24,47,51,0.15,2,1.78,,,,,,,,,,,,
Eric Martel,ar ARG,MF,K”ln,de Bundesliga,20,2003,,,,,,,,,,,,,0,1,0,0,35,2.11,,,,,,,,,,,,
Eric Maxim Choupo-Moting,it ITA,"MF,FW",Bayern Munich,de Bundesliga,23,1999,,,,,,,,,,,,,27,37,40,0.85,0,0,,,,,,,,,,,,
Ethan Mbapp‚,ci CIV,"MF,DF",Paris S-G,fr Ligue 1,23,2000,,,,,,,,,,,,,6,6,5,0.56,4,3.24,,,,,,,,,,,,
Exequiel Palacios,rs SRB,MF,Leverkusen,de Bundesliga,28,1995,,,,,,,,,,,,,13,75,13,0.05,19,4.84,,,,,,,,,,,,
Fabi n Ruiz Pe¤a,rs SRB,MF,Paris S-G,fr Ligue 1,31,1991,,,,,,,,,,,,,8,101,8,0.2,9,2.17,,,,,,,,,,,,
Fabian Holland,rs SRB,"MF,DF",Darmstadt 98,de Bundesliga,18,2005,,,,,,,,,,,,,6,20,3,0,23,1.65,,,,,,,,,,,,
Fabian Rdlin,rs SRB,MF,Freiburg,de Bundesliga,25,1998,,,,,,,,,,,,,21,232,26,0.15,29,2.54,,,,,,,,,,,,
Fabian Rieder,rs SRB,MF,Rennes,fr Ligue 1,25,1998,,,,,,,,,,,,,8,64,25,0.3,46,1.27,,,,,,,,,,,,
Fabian Schnellhardt,fr FRA,MF,Darmstadt 98,de Bundesliga,26,1997,,,,,,,,,,,,,7,93,32,0.34,25,1.44,,,,,,,,,,,,
Fabio Carvalho,al ALB,MF,RB Leipzig,de Bundesliga,27,1995,,,,,,,,,,,,,18,167,53,0.2,50,3.44,,,,,,,,,,,,
Fabio Gonz lez,fr FRA,MF,Las Palmas,es La Liga,17,2006,,,,,,,,,,,,,0,0,0,0,9,2.3,,,,,,,,,,,,
Fabio Miretti,sn SEN,MF,Juventus,it Serie A,19,2003,,,,,,,,,,,,,22,43,62,0.16,23,1.97,,,,,,,,,,,,
Fabio Vieira,uy URU,"MF,FW",Arsenal,eng Premier League,19,2004,,,,,,,,,,,,,0,2,1,0,71,2.73,,,,,,,,,,,,
Facundo Pellistri,de GER,"MF,FW",Granada,es La Liga,23,2000,,,,,,,,,,,,,0,14,2,0.34,1,1.02,,,,,,,,,,,,
Faitout Maouassa,de GER,"MF,DF",Lens,fr Ligue 1,17,2006,,,,,,,,,,,,,0,1,1,0,91,6.23,,,,,,,,,,,,
Fares Cha‹bi,gn GUI,"MF,FW",Eint Frankfurt,de Bundesliga,27,1996,,,,,,,,,,,,,43,94,97,0.53,2,1.64,,,,,,,,,,,,
Fede San Emeterio,fr FRA,MF,C diz,es La Liga,26,1997,,,,,,,,,,,,,69,190,53,0.25,60,5.14,,,,,,,,,,,,
Federico Valverde,dz ALG,MF,Real Madrid,es La Liga,18,2004,,,,,,,,,,,,,0,0,1,0,38,1.74,,,,,,,,,,,,
Felix Nmecha,fr FRA,MF,Dortmund,de Bundesliga,24,1999,,,,,,,,,,,,,6,11,10,0,40,3.56,,,,,,,,,,,,
Fermin L¢pez,fi FIN,"MF,FW",Barcelona,es La Liga,19,2003,,,,,,,,,,,,,8,66,17,0.09,10,7.5,,,,,,,,,,,,
Fernando,at AUT,MF,Sevilla,es La Liga,21,2001,,,,,,,,,,,,,47,122,73,0.11,119,4.2,,,,,,,,,,,,
Filip Jagie??o,fr FRA,MF,Genoa,it Serie A,21,2001,,,,,,,,,,,,,21,56,11,0.14,36,1.78,,,,,,,,,,,,
Filippo Ranocchia,ml MLI,"MF,DF",Empoli,it Serie A,27,1995,,,,,,,,,,,,,3,3,4,1.96,0,0,,,,,,,,,,,,
Finley Munroe,no NOR,MF,Aston Villa,eng Premier League,18,2004,,,,,,,,,,,,,0,0,1,0,14,1.09,,,,,,,,,,,,
Finn Ole Becker,dk DEN,MF,Hoffenheim,de Bundesliga,23,2000,,,,,,,,,,,,,11,19,21,0.21,59,1.69,,,,,,,,,,,,
Florent Mollet,fr FRA,"MF,FW",Nantes,fr Ligue 1,18,2005,,,,,,,,,,,,,0,1,2,0,74,3.39,,,,,,,,,,,,
Florent Muslija,eng ENG,"MF,FW",Freiburg,de Bundesliga,32,1990,,,,,,,,,,,,,13,59,69,0.3,23,3.25,,,,,,,,,,,,
Florian Kainz,eng ENG,"MF,FW",K”ln,de Bundesliga,17,2005,,,,,,,,,,,,,0,0,2,0,149,4.25,,,,,,,,,,,,
Florian Neuhaus,ec ECU,MF,Gladbach,de Bundesliga,26,1997,,,,,,,,,,,,,127,53,150,0.23,66,2.07,,,,,,,,,,,,
Florian Pick,es ESP,"MF,FW",Heidenheim,de Bundesliga,27,1996,,,,,,,,,,,,,22,123,22,0.22,60,2.69,,,,,,,,,,,,
Florian Sotoca,fr FRA,"MF,FW",Lens,fr Ligue 1,26,1997,,,,,,,,,,,,,47,41,139,0.24,31,2.02,,,,,,,,,,,,
Florian Wirtz,eg EGY,MF,Leverkusen,de Bundesliga,24,1999,,,,,,,,,,,,,37,59,71,0.22,1,3.21,,,,,,,,,,,,
Fran Beltr n,ml MLI,MF,Celta Vigo,es La Liga,22,2000,,,,,,,,,,,,,75,152,160,0.21,41,3.57,,,,,,,,,,,,
Fran‡ois Mughe,fr FRA,"MF,DF",Marseille,fr Ligue 1,23,2000,,,,,,,,,,,,,35,84,53,0,2,6.21,,,,,,,,,,,,
Francesco Gelli,me MNE,"MF,DF",Frosinone,it Serie A,26,1997,,,,,,,,,,,,,3,11,9,0,3,54,,,,,,,,,,,,
Francis Coquelin,rs SRB,MF,Villarreal,es La Liga,32,1991,,,,,,,,,,,,,71,119,175,0.86,1,6,,,,,,,,,,,,
Francisco Perez,hr CRO,"MF,FW",Valencia,es La Liga,25,1998,,,,,,,,,,,,,61,124,140,0.43,57,2.02,,,,,,,,,,,,
Franco Cervi,dk DEN,"MF,DF",Celta Vigo,es La Liga,25,1997,,,,,,,,,,,,,67,150,174,0.17,26,2.78,,,,,,,,,,,,
Frank Onyeka,eng ENG,MF,Brentford,eng Premier League,34,1989,,,,,,,,,,,,,18,151,36,0.14,0,0,,,,,,,,,,,,
Fredrik Jensen,es ESP,"MF,FW",Augsburg,de Bundesliga,26,1996,,,,,,,,,,,,,11,53,16,0,25,1.46,,,,,,,,,,,,
Frenkie de Jong,es ESP,MF,Barcelona,es La Liga,23,2000,,,,,,,,,,,,,13,50,14,0.07,65,2.36,,,,,,,,,,,,
Gavi,es ESP,"MF,FW",Barcelona,es La Liga,26,1997,,,,,,,,,,,,,11,56,10,0.26,5,2.98,,,,,,,,,,,,
Gelabert,es ESP,"MF,FW",Toulouse,fr Ligue 1,29,1994,,,,,,,,,,,,,37,100,38,0.06,6,1.8,,,,,,,,,,,,
Genki Haraguchi,fr FRA,MF,Stuttgart,de Bundesliga,27,1996,,,,,,,,,,,,,1,0,0,0,5,4.09,,,,,,,,,,,,
Geoffrey Kondogbia,ch SUI,MF,Marseille,fr Ligue 1,25,1998,,,,,,,,,,,,,1,0,1,0,40,1.61,,,,,,,,,,,,
Gerard Gumbau,it ITA,MF,Granada,es La Liga,37,1985,,,,,,,,,,,,,53,196,85,0.43,46,1.49,,,,,,,,,,,,
Gerrit Holtmann,de GER,"MF,FW",Darmstadt 98,de Bundesliga,25,1998,,,,,,,,,,,,,21,58,38,0.11,7,2.45,,,,,,,,,,,,
Giacomo Bonaventura,de GER,MF,Fiorentina,it Serie A,28,1995,,,,,,,,,,,,,48,129,74,0.53,5,3.81,,,,,,,,,,,,
Gianluca Caprari,de GER,"MF,FW",Monza,it Serie A,35,1988,,,,,,,,,,,,,24,127,52,0.19,45,2.74,,,,,,,,,,,,
Gianluca Gaetano,ma MAR,MF,Napoli,it Serie A,30,1993,,,,,,,,,,,,,0,1,6,0,4,1.79,,,,,,,,,,,,
Gino Caoki,ci CIV,MF,Lorient,fr Ligue 1,26,1996,,,,,,,,,,,,,1,13,12,0,5,4.02,,,,,,,,,,,,
Gino Infantino,ar ARG,MF,Fiorentina,it Serie A,30,1993,,,,,,,,,,,,,12,67,11,0,29,1.61,,,,,,,,,,,,
Gio Reyna,de GER,"MF,FW",Dortmund,de Bundesliga,31,1992,,,,,,,,,,,,,4,21,2,0,74,2.29,,,,,,,,,,,,
Giovani Lo Celso,de GER,MF,Tottenham,eng Premier League,20,2003,,,,,,,,,,,,,8,21,19,0.3,82,2.94,,,,,,,,,,,,
Giovanni Fabbian,fr FRA,"MF,FW",Bologna,it Serie A,28,1995,,,,,,,,,,,,,1,13,4,0,5,3.21,,,,,,,,,,,,
Giulio Maggiore,fr FRA,MF,Salernitana,it Serie A,29,1994,,,,,,,,,,,,,22,148,25,0.08,19,2.14,,,,,,,,,,,,
Gonzalo Escalante,fr FRA,MF,C diz,es La Liga,24,1998,,,,,,,,,,,,,29,42,53,0.49,19,1.32,,,,,,,,,,,,
Gonzalo Melero,fr FRA,"MF,FW",Almer¡a,es La Liga,30,1993,,,,,,,,,,,,,15,72,10,0,113,3.37,,,,,,,,,,,,
Gonzalo Villar,uy URU,MF,Granada,es La Liga,23,2000,,,,,,,,,,,,,9,78,20,0,9,2.39,,,,,,,,,,,,
Granit Xhaka,sk SVK,MF,Leverkusen,de Bundesliga,27,1996,,,,,,,,,,,,,1,60,5,0,29,1.57,,,,,,,,,,,,
Grant Ranos,se SWE,"MF,FW",Gladbach,de Bundesliga,30,1993,,,,,,,,,,,,,23,133,47,0.33,59,3.09,,,,,,,,,,,,
Grigoris Kastanos,it ITA,"MF,DF",Salernitana,it Serie A,26,1997,,,,,,,,,,,,,5,1,9,0,51,2.33,,,,,,,,,,,,
Grischa Pr”mel,it ITA,MF,Hoffenheim,de Bundesliga,20,2003,,,,,,,,,,,,,15,27,14,0.13,74,2.07,,,,,,,,,,,,
Guido Rodr¡guez,fr FRA,MF,Betis,es La Liga,25,1998,,,,,,,,,,,,,3,5,1,0.79,2,9.47,,,,,,,,,,,,
Gustavo Hamer,fr FRA,MF,Sheffield Utd,eng Premier League,28,1995,,,,,,,,,,,,,87,52,120,0.15,52,1.98,,,,,,,,,,,,
